RPM,1st,2nd,3rd,4th
4100,5.27735224,7.256359329,8.705890017,10.07827685
4200,5.406068148,7.433343703,8.918228798,10.32408848
4300,5.534784056,7.610328077,9.130567579,10.56990011
4400,5.663499964,7.787312451,9.34290636,10.81571174
4500,5.792215873,7.964296825,9.555245141,11.06152337
4600,5.920931781,8.141281199,9.767583922,11.307335
4700,6.049647689,8.318265573,9.979922703,11.55314663
4800,6.178363597,8.495249947,10.19226148,11.79895826
4900,6.307079506,8.67223432,10.40460026,12.04476989
5000,6.435795414,8.849218694,10.61693905,12.29058152
5100,6.564511322,9.026203068,10.82927783,12.53639315
5200,6.693227231,9.203187442,11.04161661,12.78220478
5300,6.821943139,9.380171816,11.25395539,13.02801641
5400,6.950659047,9.55715619,11.46629417,13.27382804
5500,7.079374955,9.734140564,11.67863295,13.51963967
5600,7.208090864,9.911124938,11.89097173,13.7654513
5700,7.336806772,10.08810931,12.10331051,14.01126293
5800,7.46552268,10.26509369,12.31564929,14.25707456
5900,7.594238589,10.44207806,12.52798807,14.50288619
6000,7.722954497,10.61906243,12.74032685,14.74869782
6100,7.851670405,10.79604681,12.95266564,14.99450945
6200,7.980386313,10.97303118,13.16500442,15.24032108
6300,8.109102222,11.15001555,13.3773432,15.48613272
6400,8.23781813,11.32699993,13.58968198,15.73194435
6500,8.366534038,11.5039843,13.80202076,15.97775598
6600,8.495249947,11.68096868,14.01435954,16.22356761
6700,8.623965855,11.85795305,14.22669832,16.46937924
6800,8.752681763,12.03493742,14.4390371,16.71519087
6900,8.881397671,12.2119218,14.65137588,16.9610025
7000,9.01011358,12.38890617,14.86371466,17.20681413
7100,9.138829488,12.56589055,15.07605344,17.45262576
7200,9.267545396,12.74287492,15.28839223,17.69843739
7300,9.396261305,12.91985929,15.50073101,17.94424902
7400,9.524977213,13.09684367,15.71306979,18.19006065
7500,9.653693121,13.27382804,15.92540857,18.43587228
7600,9.782409029,13.45081242,16.13774735,18.68168391
7700,9.911124938,13.62779679,16.35008613,18.92749554
7800,10.03984085,13.80478116,16.56242491,19.17330717
7900,10.16855675,13.98176554,16.77476369,19.4191188
8000,10.29727266,14.15874991,16.98710247,19.66493043
8100,10.42598857,14.33573428,17.19944125,19.91074206
8200,10.55470448,14.51271866,17.41178003,20.15655369
8300,10.68342039,14.68970303,17.62411882,20.40236532
8400,10.8121363,14.86668741,17.8364576,20.64817695
8500,10.9408522,15.04367178,18.04879638,20.89398858
8600,11.06956811,15.22065615,18.26113516,21.13980021
8700,11.19828402,15.39764053,18.47347394,21.38561184
8800,11.32699993,15.5746249,18.68581272,21.63142348
8900,11.45571584,15.75160928,18.8981515,21.87723511
9000,11.58443175,15.92859365,19.11049028,22.12304674
9100,11.71314765,16.10557802,19.32282906,22.36885837
9200,11.84186356,16.2825624,19.53516784,22.61467
9300,11.97057947,16.45954677,19.74750662,22.86048163
9400,12.09929538,16.63653115,19.95984541,23.10629326
9500,12.22801129,16.81351552,20.17218419,23.35210489
9600,12.35672719,16.99049989,20.38452297,23.59791652
9700,12.4854431,17.16748427,20.59686175,23.84372815
9800,12.61415901,17.34446864,20.80920053,24.08953978
9900,12.74287492,17.52145301,21.02153931,24.33535141
10000,12.87159083,17.69843739,21.23387809,24.58116304
10100,13.00030674,17.87542176,21.44621687,24.82697467
10200,13.12902264,18.05240614,21.65855565,25.0727863
10300,13.25773855,18.22939051,21.87089443,25.31859793
10400,13.38645446,18.40637488,22.08323321,25.56440956
10500,13.51517037,18.58335926,22.295572,25.81022119
10600,13.64388628,18.76034363,22.50791078,26.05603282
10700,13.77260219,18.93732801,22.72024956,26.30184445
10800,13.90131809,19.11431238,22.93258834,26.54765608
10900,14.030034,19.29129675,23.14492712,26.79346771
11000,14.15874991,19.46828113,23.3572659,27.03927934
11100,14.28746582,19.6452655,23.56960468,27.28509097
11200,14.41618173,19.82224988,23.78194346,27.5309026
11300,14.54489764,19.99923425,23.99428224,27.77671423
11400,14.67361354,20.17621862,24.20662102,28.02252587
11500,14.80232945,20.353203,24.4189598,28.2683375
11600,14.93104536,20.53018737,24.63129859,28.51414913
11700,15.05976127,20.70717174,24.84363737,28.75996076
11800,15.18847718,20.88415612,25.05597615,29.00577239
11900,15.31719309,21.06114049,25.26831493,29.25158402
12000,15.44590899,21.23812487,25.48065371,29.49739565
12100,15.5746249,21.41510924,25.69299249,29.74320728
12200,15.70334081,21.59209361,25.90533127,29.98901891
12300,15.83205672,21.76907799,26.11767005,30.23483054
12400,15.96077263,21.94606236,26.33000883,30.48064217
12500,16.08948854,22.12304674,26.54234761,30.7264538
12600,16.21820444,22.30003111,26.75468639,30.97226543
12700,16.34692035,22.47701548,26.96702518,31.21807706
12800,16.47563626,22.65399986,27.17936396,31.46388869
12900,16.60435217,22.83098423,27.39170274,31.70970032
13000,16.73306808,23.00796861,27.60404152,31.95551195
13100,16.86178398,23.18495298,27.8163803,32.20132358
13200,16.99049989,23.36193735,28.02871908,32.44713521
13300,17.1192158,23.53892173,28.24105786,32.69294684
13400,17.24793171,23.7159061,28.45339664,32.93875847
13500,17.37664762,23.89289047,28.66573542,33.1845701
13600,17.50536353,24.06987485,28.8780742,33.43038173
13700,17.63407943,24.24685922,29.09041298,33.67619336
13800,17.76279534,24.4238436,29.30275177,33.92200499
13900,17.89151125,24.60082797,29.51509055,34.16781663
14000,18.02022716,24.77781234,29.72742933,34.41362826
14100,18.14894307,24.95479672,29.93976811,34.65943989
14200,18.27765898,25.13178109,30.15210689,34.90525152
14300,18.40637488,25.30876547,30.36444567,35.15106315
14400,18.53509079,25.48574984,30.57678445,35.39687478
14500,18.6638067,25.66273421,30.78912323,35.64268641
14600,18.79252261,25.83971859,31.00146201,35.88849804
14700,18.92123852,26.01670296,31.21380079,36.13430967
14800,19.04995443,26.19368734,31.42613957,36.3801213
14900,19.17867033,26.37067171,31.63847836,36.62593293
15000,19.30738624,26.54765608,31.85081714,36.87174456
